run_id,experiment,seed,mu,lam,mu_lam_ratio,individual_sigma,sigma_recomb,var_recomb,best_x1,best_x2,best_cost,generations,runtime_s
1,A_basic,1,15,100,15:100,False,False,False,1.3987454884433282e-06,-1.4251779776713723e-06,7.911111765679379e-10,500,0.13333812495693564
2,A_basic,2,15,100,15:100,False,False,False,1.8180182940351085e-06,1.07062023763844e-06,8.831264608488709e-10,500,0.13342095806729048
3,A_basic,3,15,100,15:100,False,False,False,0.02579507630500906,-0.021921675776661154,0.22690945121430417,500,0.12975687498692423
4,A_basic,4,15,100,15:100,False,False,False,-5.374592538535727e-07,7.334545713627168e-07,1.6403589597757673e-10,500,0.1313030410092324
5,A_basic,5,15,100,15:100,False,False,False,-3.990333642983244e-08,2.0126898625933543e-06,8.03986210939911e-10,500,0.12868074991274625
6,B_ratio,1,5,35,5:35,False,False,False,4.4303836410930485e-06,5.89495534916671e-07,3.963045003274601e-09,500,0.051296332967467606
7,B_ratio,2,5,35,5:35,False,False,False,0.012653403628938159,0.01153840140398538,0.05814900465587769,500,0.049733833060599864
8,B_ratio,3,5,35,5:35,False,False,False,-0.009096427632443005,-0.03148772664615507,0.21247514582712768,500,0.049381916993297637
9,B_ratio,4,5,35,5:35,False,False,False,3.090908994719599e-06,1.2465465970215589e-06,2.2036594771179807e-09,500,0.04972908296622336
10,B_ratio,5,5,35,5:35,False,False,False,-0.014299874588062395,-0.0020271359957573926,0.041356577333473865,500,0.05185945809353143
11,B_ratio,1,15,100,15:100,False,False,False,1.3987454884433282e-06,-1.4251779776713723e-06,7.911111765679379e-10,500,0.14875808299984783
12,B_ratio,2,15,100,15:100,False,False,False,1.8180182940351085e-06,1.07062023763844e-06,8.831264608488709e-10,500,0.1300690839998424
13,B_ratio,3,15,100,15:100,False,False,False,0.02579507630500906,-0.021921675776661154,0.22690945121430417,500,0.12816054199356586
14,B_ratio,4,15,100,15:100,False,False,False,-5.374592538535727e-07,7.334545713627168e-07,1.6403589597757673e-10,500,0.1263105410616845
15,B_ratio,5,15,100,15:100,False,False,False,-3.990333642983244e-08,2.0126898625933543e-06,8.03986210939911e-10,500,0.1289715829771012
16,B_ratio,1,30,200,30:200,False,False,False,1.4020588970754062e-07,5.280667544155183e-07,5.922373702560435e-11,500,0.24240079091396183
17,B_ratio,2,30,200,30:200,False,False,False,-5.01134985234227e-07,-2.4880653875039565e-07,6.210498781911156e-11,500,0.24119674996472895
18,B_ratio,3,30,200,30:200,False,False,False,-1.0749033649550013e-06,5.263887730321199e-07,2.8419577802196727e-10,500,0.2427752079674974
19,B_ratio,4,30,200,30:200,False,False,False,-5.0848858024427155e-08,-9.875930156131022e-07,1.9401369399929536e-10,500,0.24136212503071874
20,B_ratio,5,30,200,30:200,False,False,False,8.660554762685458e-07,4.635724993156125e-08,1.4923173807801504e-10,500,0.24293008295353502
21,C_indiv_sigma,1,30,200,30:200,True,False,False,1.4020588970754062e-07,5.280667544155183e-07,5.922373702560435e-11,500,0.24042954202741385
22,C_indiv_sigma,2,30,200,30:200,True,False,False,-5.01134985234227e-07,-2.4880653875039565e-07,6.210498781911156e-11,500,0.23763174994383007
23,C_indiv_sigma,3,30,200,30:200,True,False,False,-1.0749033649550013e-06,5.263887730321199e-07,2.8419577802196727e-10,500,0.23747458308935165
24,C_indiv_sigma,4,30,200,30:200,True,False,False,-5.0848858024427155e-08,-9.875930156131022e-07,1.9401369399929536e-10,500,0.24009904102422297
25,C_indiv_sigma,5,30,200,30:200,True,False,False,8.660554762685458e-07,4.635724993156125e-08,1.4923173807801504e-10,500,0.23924937495030463
26,D_sigma_recomb,1,30,200,30:200,True,True,False,-8.780321432232374e-07,-1.368824796783038e-06,5.246718615126156e-10,500,0.644925499917008
27,D_sigma_recomb,2,30,200,30:200,True,True,False,5.144625629844795e-07,3.3120498082052607e-07,7.427303216900327e-11,500,0.6354662920348346
28,D_sigma_recomb,3,30,200,30:200,True,True,False,-8.121813341005927e-07,7.149114297087222e-07,2.3226220946526155e-10,500,0.6283809999004006
29,D_sigma_recomb,4,30,200,30:200,True,True,False,-6.75040097509334e-07,-1.1951601580459343e-06,3.737881115739583e-10,500,0.6331041669473052
30,D_sigma_recomb,5,30,200,30:200,True,True,False,-2.4737018247363456e-08,3.0122506887855576e-07,1.8122392475561355e-11,500,0.6335131250089034
31,E_var_recomb,1,30,200,30:200,True,False,True,8.313949363320162e-07,7.914087044676079e-07,2.6139090891774686e-10,500,0.8128338330425322
32,E_var_recomb,2,30,200,30:200,True,False,True,3.6609713387051975e-07,-1.8164367513568956e-07,3.313260776849347e-11,500,0.7993089170195162
33,E_var_recomb,3,30,200,30:200,True,False,True,-5.75402270242611e-07,-1.1176041737131978e-07,6.816236464146641e-11,500,0.8045810840558261
34,E_var_recomb,4,30,200,30:200,True,False,True,1.946615730114842e-06,3.5771377436530347e-07,7.771561172376096e-10,500,0.8077061249641702
35,E_var_recomb,5,30,200,30:200,True,False,True,-1.8230440679203327e-06,-7.865584900625112e-07,7.820943892511423e-10,500,0.8164421659894288
